S#,Date,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F)
98,Saturday-March 1-2008,23 safar 1429 A.H.,Working Day,,NA,Bajaur Agency,34.8718,71.5249,FATA,Khar-jardar area,Mobile,High,Open,,Military,None,,2,,23,1,NA,NA,19.375,66.875
99,Sunday-March 2-2008,24 safar 1429 A.H.,Holiday,Weekend,11:00:00 AM,Dara Adam Khel,33.6854,71.5131,KPK,Dara adamkhel Jirga ,Park/Ground,Low,Open,peace Jirga ,Anti-Militants,None,40,43,50,60,1,NA,1.Lady Reading Hospital 2.Hayatabad medical Complex,19.455,67.019
100,Tuesday-March 4-2008,26 safar 1429 A.H,Working Day,,1:05PM,Lahore ,31.5451,74.3407,Punjab,Navy war college mall road lahore,Military,High,Closed,Navy college ,Military,None,4,8,15,24,2,NA,1.CMH 2.Service hospital,20.655,69.179
101,Tuesday-March 11-2008,3 Raby` al-awal 1429 A.H,Working Day,,9:15 AM to 9:20:00 AM,Lahore ,31.5451,74.3407,Punjab,FIA building Temple road near The Mall-near regal chowk,Government,High,Closed,,Government Official,None,26,31,175,200,1,50kg,1.Ganga Ram Hospita 2.Mayo Hospital ,21.295,70.331
102,Tuesday-March 11-2008,3 Raby` al-awal 1429 A.H,Working Day,,9:20:00 AM,Lahore ,31.5451,74.3407,Punjab,Bungalow no 83/F Model Town-an advertising agency office,Residence,Low,Closed,,Civilian,None,3,6,,12,1,30kg ,Ganga Ram hospital ,21.295,70.331
103,Monday-March 17-2008,9 Raby` al-awal 1429 A.H.,Working Day,,NA,Swat,35.2227,72.4258,KPK,Mingora police Lines ,Police,High,Closed,,Police,None,2,3,5,7,1,NA,Saidu Sharif hospital,22.5,72.5
104,Thursday-March 20-2008,12 Raby` al-awal 1429 A.H.,Holiday,Eid Milad un-Nabi,3:00 PM,South Waziristan,32.3202,69.8597,FATA,Army Camp at Zari noor-Wana,Military,High,Closed,,Military,None,,5,9,11,1,NA,Military Hospital ,18.655,65.579
105,Thursday-May 1-2008,25 Raby` al-THaany 1429 A.H,Holiday,Labour Day,Thursday Morning,Khyber Agency,34.0211,71.2874,FATA,Takia-Bar Qambarkhel Mosque,Religious,Medium,Closed,,Religious,Sunni,,2,17,30,1,NA,NA,28.985,84.173
106,Tuesday-May 6-2008,1 Jumaada al-awal 1429 A.H,Working Day,,8:40:00 AM/9:30:00 AM,Bannu,32.935,70.6688,KPK,Bannu police  check post,Police,High,Open,,Police,None,3,7,10,15,1,NA,1.DHQ 2.CMH,28.62,83.516
107,Friday-May 9-2008,4 Jumaada al-awal 1429 A.H,Working Day,,Friday Night,Swat,35.2227,72.4258,KPK,Mingora police Station ,Police,High,Closed,,Police,None,,1,3,4,1,NA,1.district headquarters hospital saidu sharif ,23.985,75.173
108,Sunday-May 18-2008,13 Jumaada al-awal 1429 A.H.,Holiday,Weekend,8:00:00 PM,Mardan,34.1982,72.0444,KPK,Military run bakery near a punjab regiment center in Mardan cantt,Military,High,Closed,,Military,None,11,13,23,25,1,NA,1.CMH 2.District Headqurtar Hospital ,29.61,85.298
109,Monday-June 2-2008,28 Jumaada al-awal 1429 A.H.,Working Day,,1:00:00 PM/1:05PM,Islamabad,33.718,73.0718,Capital,Islamabad Danish Embassy,Foreign,High,Closed,,Foreigner,Jews,,8,25,30,1,50kg,1.PIMS 2.Federal Government Service Hospital,26.5,79.7
110,Sunday-July 6-2008,3 Rajab 1429 A.H.,Holiday,Weekend,7:50:00/7:45:00 PM,Islamabad,33.718,73.0718,Capital,Melody market near lal masjid,Market,Low,Open,,Police,None,15,20,20,47,1,5 kg,1.PIMS 2.Poly Clinic 3.Federal Government Service Hospital,26.86,80.348
111,Sunday-July 13-2008,10 Rajab 1429 A.H,Holiday,Weekend,NA,D.I Khan,31.8238,70.9095,KPK,Shiite gathering -Near kotli imam Hussain,Religious,Medium,Closed,,Religious,Shiite,,1,3,4,1,NA,NA,31.075,87.935
112,Wednesday-August 13-2008,12 SHa`baan 1429 A.H,Working Day,,11:35:00 PM,Lahore ,31.5451,74.3407,Punjab,neaar Iqbal Town police Station Lahore at dubai CHOWK SIGNAL,Police,High,Open,,Police,None,8,9,20,35,1,NA,1.Sheikh Zahid Hospital,25.835,78.503
113,Tuesday-August 19-2008,18 SHa`baan 1429 A.H.,Working Day,,1:30:00 PM,D.I Khan,31.8238,70.9095,KPK,Distric headquarter hospital,Hospital,Low,Closed,during the shiite protest against the death of shiite govt official,Civilian,Shiite,30,32,33,55,1,NA,1.Combined Military Hospital ,31.495,88.691
114,Thursday-August 21-2008,20 SHa`baan 1429 A.H,Working Day,,2:37:00 PM,Rawalpindi,33.6058,73.0437,Punjab,Wah Cant Pakistn Ordinance Factories ,Military,High,Closed,,Government Official,None,70,100,67,200,2,NA,pof hospital,28.89,84.002
115,Saturday-August 23-2008,22 SHa`baan 1429 A.H,Working Day,,7:45:00 AM,Swat,35.2227,72.4258,KPK,Charbagh checkpost,Police,High,Open,,Police,None,7,15,,20,1,100Kg,1.Saidu sharif hospital ,25.69,78.242
116,Friday-August 29-2008,28 SHa`baan 1429 A.H,Working Day,,7:00:00 AM,Kohat,33.5833,71.4333,KPK,army base camp/emergency center near Kohat tunnel,Military,High,Closed,,Military,None,2,5,25,39,1,NA,1.CMH Kohat,27.705,81.869
117,Saturday-September 6-2008,6 RamaDHaan 1429 A.H,Working Day,,NA,Peshawar,34.0043,71.5448,KPK,Zangali Checkpost on kohat road,Police,High,Open,,Police,None,30,35,70,90,1,150Kg,Lady Reading Hospital-Khyber teaching-Hayatabad complex,23.44,74.192
118,Tuesday-September 16-2008,16 RamaDHaan 1429 A.H,Working Day,,Half hour after aftar,Swat,35.2227,72.4258,KPK,Kabal check post ,Police,High,Open,,Police,None,2,10,,25,1,NA,NA,25.95,78.71
119,Saturday-September 20-2008,20 RamaDHaan 1429 A.H,Working Day,,NA,North waziristan,32.9746,70.1456,KPK,military convoy on Miranshah road near Norak,Mobile,High,Open,,Military,None,7,17,5,20,1,NA,1.CMH Bannu hospital,22.06,71.708
120,Saturday-September 20-2008,20 RamaDHaan 1429 A.H,Working Day,,8:05:00 PM,Islamabad,33.718,73.0718,Capital,Islamabad Marriott Hotal ,Hotel,Medium,Closed,,Foreigner,None,40,60,200,300,1,1000 Kg,1.Poly Clinic  2. PIMS,24.41,75.938
121,Monday-September 22-2008,22 RamaDHaan 1429 A.H,Working Day,,NA,Swat,35.2227,72.4258,KPK,military security checkpost in Madian Town swat,Military,High,Open,,Military,None,9,13,2,3,1,NA,NA,21.005,69.809
122,Wednesday-September 24-2008,24 RamaDHaan 1429 A.H,Working Day,,NA,Quetta,30.2095,67.0182,Baluchistan,Quetta cantt military Check post ,Military,High,Open,,Military,None,1,14,22,25,1, 8 Kg,1.CMH Hospital 2.Civil Hospital,23.225,73.805
123,Friday-October 3-2008,3 SHawwal 1429 A.H,Holiday,Eid-ul-Fitar,4:00:00 PM,Peshawar,34.0043,71.5448,KPK,wali bagh charsadda,Residence,Medium,Closed,,Government Official,None,4,5,,18,1,NA,1.District Hospital Charsadda ,29.445,85.001
124,Monday-October 6-2008,6 SHawwal 1429 A.H,Working Day,,4:45:00 PM,Bhakkar ,31.6216,71.065,Punjab,Bhakkar Rasheed Noranni MNA house,Residence,Medium,Closed,,Government Official,None,22,26,60,100,1,NA,1.Nishtar Hospital Multan,29.025,84.245
125,Thursday-October 9-2008,9 SHawwal 1429 A.H,Working Day,,12:45:00 PM,Islamabad,33.718,73.0718,Capital,Islamabad Police line-anti terrorist squad building,Police,High,Closed,lawmakers gathered for a secret security briefing,Police,None,,,6,12,1,60Kg,1. PIMS 2.Federal Government Services,24.17,75.506
126,Thursday-October 9-2008,9 SHawwal 1429 A.H,Working Day,,12:55:00 PM,Khyber Agency,34.0211,71.2874,FATA,near michni post in landi kotal,Mobile,High,Open,,Foreigner,Christian,,0,,0,1,NA,,24.47,76.046
127,Friday-October 10-2008,10 SHawwal 1429 A.H,Working Day,,NA,Orakzai Agency,32.9746,70.1456,FATA,anti-taliban Jirga-Khadezai area in upper Orakzai Agency,Park/Ground,Low,Open,,Anti-Militants,Sunni,40,85,90,200,1,8 ft deep crater,1.Kohat Dvisional Headquarters Hospital  2.Gahluj hospital 3.Hospitals in Hangu and Kohat ,20.58,69.044
128,Thursday-October 16-2008,16 SHawwal 1429 A.H,Working Day,,NA,Swat,35.2227,72.4258,KPK,Mingora police Station ,Police,High,Closed,,Police,None,,4,,27,1,NA,NA,19.835,67.703
129,Sunday-October 26-2008,26 SHawwal 1429 A.H,Holiday,Weekend,9:45:00 PM,Mohmand Agency,32.9746,70.1456,FATA,Mohmad Agency-naqi Checkpost ,Military,High,Open,,Military,None,11,10,,5,1,NA,1.Ghalaanai Hospital ,15.35,59.63
130,Wednesday-October 29-2008,29 SHawwal 1429 A.H.,Working Day,,2:15:00 PM,Bannu,32.9861,70.6042,KPK,Militay checkpost cantoment area bannu,Military,High,Open,,Military,None,,,,14,1,NA,1.Combined Military Hospital ,22.09,71.762
131,Friday-October 31-2008,2 Thw al-Qi`dah 1429 A.H,Working Day,,1:30:00 PM,Mardan,34.1982,72.0444,KPK,outside the office of Mardan DIG in malakand mardan road,Police,High,Closed,,Police,None,9,10,21,25,1,NA,district headquarter hospital,20.895,69.611
132,Sunday-November 2-2008,5 Thw al-Qi`dah 1429 A.H,Holiday,Weekend,9:00 AM,South Waziristan,32.3202,69.8597,FATA,Zalai FC checkpost wana,Military,High,Open,,Military,None,,8,,8,1,,,21.735,71.123
133,Tuesday-November 4-2008,6 Thw al-Qi`dah 1429 A.H,Working Day,,,Hangu,33.5351,71.0713,KPK,Doabba-checkpost near surpul on hangu tal road,Police,High,Open,,Police,None,,7,,4,1,40 kg,CMH Hangu,21.11,69.998
134,Thursday-November 6-2008,8 Thw al-Qi`dah 1429 A.H,Working Day,,NA,Swat,35.2227,72.4258,KPK,Swat Police check post ,Police,High,Open,,Police,None,,2,,10,1,NA,Syedo Shrif Hospital ,16.485,61.673
135,Thursday-November 6-2008,8 Thw al-Qi`dah 1429 A.H,Working Day,,NA,Bajaur Agency,34.8718,71.5249,FATA,Salarzai Jirga  in batmali area-Bajaur,Park/Ground,Low,Open,tribes were discussing formation of lashkar,Anti-Militants,Sunni,16,23,31,45,1,NA,NA,16.705,62.069
136,Tuesday-November 11-2008,13 Thw al-Qi`dah 1429 A.H,Working Day,,NA,Peshawar,34.0043,71.5448,KPK,Qayyum Stadium ,Park/Ground,Low,Open,Sport Stadium,Government Official,None,3,4,13,20,1,7 or 8Kg,1.Lady Reading Hospital 2.Combined Military Hospital ,19.17,66.506
137,Wednesday-November 12-2008,14 Thw al-Qi`dah 1429 A.H,Working Day,,10:00:00 AM,Charsadda,34.1509,71.7359,KPK,attack on security forces camp in Subhan Khaur school-shabqadar area near muhamand agency boder,Military,High,Closed,,Military,None,,7,10,12,1,NA,NA,19.165,66.497
138,Monday-November 17-2008,19 Thw al-Qi`dah 1429 A.H.,Working Day,,11:15:00 AM,Swat,35.2227,72.4258,KPK,Security checkpost in gashgur area of  Khawazakhela,Military,High,Open,,Military,None,,10,,8,1,NA,NA,14.075,57.335
139,Thursday-November 20-2008,22 Thw al-Qi`dah 1429 A.H.,Working Day,,during maghrib prayer,Bajaur Agency,34.8718,71.5249,FATA,Mosque in Badaan area of mamund,Religious,Medium,Closed,maghrib prayer,Religious,Sunni,,9,,,1,,District hospital Bajur,14.17,57.506
140,Friday-November 28-2008,30 Thw al-Qi`dah 1429 A.H.,Working Day,,NA,Buner,34.3943,72.6151,KPK,near Tarezi Chowk on the main Bannu-Kohat road.,Mobile,High,Open,,Police,,,9,,16,1,NA,NA,16.61,61.898
141,Monday-December 1-2008,3 Thw al-Hijjah 1429 A.H,Working Day,,Monday Morning,Swat,35.2227,72.4258,KPK,sangota checkpost in mingora,Military,High,Open,,Military,None,,10,,50,1,NA,NA,15.45,59.81
142,Wednesday-December 3-2008,5 Thw al-Hijjah 1429 A.H,Working Day,,NA,Charsadda,34.1509,71.7359,KPK, Army Convoy passing from shabqadar,Mobile,High,Open,Army convoy ,Military,None,5,6,8,10,1,NA,NA,15.815,60.467
143,Friday-December 5-2008,8 Thw al-Hijjah 1429 A.H,Working Day,,12:30:00pm,Orakzai Agency,32.9746,70.1456,KPK,bazar of Kalaia area of lower Orakzai angency,Market,Low,Open,,Civilian,None,6,10,8,15,1,NA,Kalidya Hospital ,12.465,54.437
144,Tuesday-December 9-2008,11 Thw al-Hijjah 1429 A.H,Working Day,,NA,Buner,34.3943,72.6151,KPK,in Dagar-an area of Buner ,Park/Ground,Low,Open,,Government Official,None,,1,,4,1,NA,NA,14.39,57.902
145,Sunday-December 28-2008,,Holiday,Weekend,10:30:00 AM,Buner,34.3943,72.6151,KPK,Buner Poling station-Infront of govt high school Shalbandi,Government,High,Open,,Government official,None,34,37,,16,,,,11.41,52.538
146,Sunday-January 4-2009,7 MuHarram 1430 A.H,Holiday,Weekend,7:30:00 PM,D.I Khan,31.8238,70.9095,KPK,multan road in Deara Ismail Khan,Mobile,High,Open,muharram ul haram rally,Police,,7,10,21,25,1, 10 kg ,Poly clinic multan ,11.445,52.601
147,Sunday-January 4-2009,7 MuHarram 1430 A.H,Holiday,Weekend,,Bannu,32.9861,70.6042,KPK,near a check-post in Officers’ Colony,Police,High,open,,Police,,,1,,2,1,,,8.275,46.895
148,Friday-January 23-2009,26 MuHarram 1430 A.H. ,Working Day,,,Swat,35.3833,72.1833,KPK,near Mingora town,Military,High,open,,Military,,,2,11,25,1,,,12.95,55.31
149,Thursday-February 5-2009,10 safar 1430 A.H.,Working Day,,6.35 pm,D.G Khan ,30.05,70.6333,Punjab,Outside Jhar ali Imambargah-in muslim town area ,Religious,Medium,Open,,Religious,Shiite,30,32,48,55,1,NA,Local Hospital In DG Khan/Nishtar Hospital,15.105,59.189
150,Thursday-February 5-2009,10 safar 1430 A.H.,Working Day,,,Swat,35.3833,72.1833,KPK,near a Police station in the Mingora town of Swat District,Police,High,open,,Police,,,12,,,,,,9.435,48.983
151,Friday-February 6-2009,11 safar 1430 A.H,Working Day,,8.15 am,Khyber Agency,34.0211,71.2874,FATA,Peshawar-Torkham Highway near Teddi Bazar in Jamrood ,Mobile,Low,Open,struck the trailer when signalled to stop,Foreigner,Christian,,0,,7,1,NA,Jamrud Civil Hospital,10.32,50.576
152,Monday-February 9-2009,14 safar 1430 A.H,Working Day,,NA,Bannu,32.9861,70.6042,KPK,Police checkpost on Baran Bridge,Police,High,Open,NA,Police,None,,5,17,18,1,NA,DHQ Hospital Bannu  / Peshawar Hospital,14.585,58.253
153,Friday-February 20-2009,25 safar 1430 A.H,Working Day,,,D.I Khan ,31.8238,70.9095,KPK,funeral procession on  Dera Bannu road-near shobra hotel,Park/Ground,Low,Open,"Funeral Procession of
Imambargah Caretaker",Civilian,Shiite,30,36,150,200,1,NA,"1. DHQ D.I.Khan
2. Nishtar Hospital
3. Lady Reading Pesh",15.555,59.999
154,Saturday-February 21-2009,26 safar 1430 A.H,Working Day,,,Bannu,32.9861,70.6042,KPK,Lakki town,Police,High,Open,NA,Police,None,,2,,,,,,14.42,57.956
155,Monday-February 23-2009,28 safar 1430 A.H.,Working Day,,NA,Bannu,32.9861,70.6042,KPK,Bannu miranshah road-House of DSP,Residence,Medium,Closed,,Police,None,,1,,2,,NA,NA,15.7,60.26
156,Monday-March 2-2009,5 Raby` al-awal 1430 A.H,Working Day,,NA,Pishin,30.5833,67,Baluchistan,Killi Karbala village in Pishin district,Educational,Low,Closed,,Government Official,Sunni,5,6,5,12,1,NA,Civil hospital Quetta,18.76,65.768
157,Wednesday-March 11-2009,14 Raby` al-awal 1430 A.H,Working Day,,NA,Peshawar,34.0043,71.5448,KPK,sarki gate area in Nimak Mandi area-Peshawar,Market,Low,Open,"Inauguration  of an 
event by Sr Minister",Government Official,None,4,5,,6,1,NA,Lady Reading Hospital ,18.375,65.075
158,Monday-March 16-2009,19 Raby` al-awal 1430 A.H,Working Day,,,Rawalpindi,33.6058,73.0437,Punjab,Rawalpindi cantt-Pirwadhi bus stand,Transport,Low,Open,,Civilian,None,12,15,16,18,1,10 kg ,"DHQ Hospital RWP
2. Benazir Hospital RWP",20.875,69.575
159,Monday-March 23-2009,26 Raby` al-awal 1430 A.H,Holiday,Pakistan Day,NA,Islamabad,33.718,73.0718,Capital,sitara maket-special branch police gate,Police,High,Open,,Police,None,,2,,8,1,NA,NA,18.575,65.435
160,Thursday-March 26-2009,29 Raby` al-awal 1430 A.H,Working Day,,8:30:00 AM,Tank,32.226,70.3761,KPK,road side restaurant opposite to military base in Jandola,Market,Low,Open,members of peace committe -members of Turkestan group,Anti-Militants,Sunni,7,15,,25,1,NA,Civil Hospital Tank,14.305,57.749
161,Friday-March 27-2009,30 Raby` al-awal 1430 A.H,Working Day,,NA,Khyber Agency,34.0211,71.2874,FATA,Mosque in Jamrood Tehsil on peshawar-turkham highway,Religious,Medium,Closed,,Religious,Sunni,70,76,100,175,1,NA,Peshwar Hospitals,18.595,65.471
162,Monday-March 30-2009,3 Raby` al-THaany 1430 A.H,Working Day,,NA,North waziristan,32.9746,70.1456,FATA,Mirzail checkpost-Miranshah,Mobile,High,Open,security forces convoy was passing from checkpost,Military,None,,4,,9,1,NA,NA,14.415,57.947
163,Saturday-April 4-2009,8 Raby` al-THaany 1430 A.H,Working Day,,7.35 PM/7:37 PM,Islamabad,33.718,73.0718,Capital,"Margala Road Check Post
Islamabad",Military,High,Open,NA,Military,None,,8,4,7,1,8Kg,"PIMS
Polyclinic ",20.17,68.306
164,Saturday-April 4-2009,8 Raby` al-THaany 1430 A.H,Working Day,,,North waziristan,32.9746,70.1456,FATA,mirnshah security checkpost,Mobile,High,Open,military convoy was passing from checkpost,Military,None,,8,,39,1,NA,NA,15.57,60.026
165,Sunday-April 5-2009,9 Raby` al-THaany 1430 A.H,Holiday,Weekend,12:30:00 PM,Chakwal ,32.9303,72.8556,Punjab,Imambargah in Chakwal ,Religious,Medium,Closed,Shia Religious Gathering ,Religious,Shiite,22,27,40,60,1,NA,NA,20.555,68.999
166,Wednesday-April 15-2009,19 Raby` al-THaany 1430 A.H,Working Day,,Evening,Charsadda,34.1509,71.7359,KPK,"Harichand Police Post-
Charsadda",Police,High,Open,NA,Police,None,16,18,5,10,1,100kg,Charsadda DHQ/Tangi Hospital/JamalAbad hospital/Peshawar Hospital,,
167,Saturday-April 18-2009,22 Raby` al-THaany 1430 A.H,Working Day,,3pm/4.15 pm,Hangu,33.5351,71.0713,KPK,Check Post close to police station in Doaba Area,Police,High,Open,NA,Police,None,21,27,26,65,1,100,Civil Hospital Hangu/ CMH Thall,21.175,70.115
168,Tuesday-May 5-2009,10 Jumaada al-awal 1430 A.H.,Working Day,,MORNING,Peshawar,34.0043,71.5448,KPK,bara qadeem Check post-on peshawar-bara road-12km west of peshawar cantt,Military,High,Open,NA,Military,None,7,11,25,48,1,85,Khyber Teaching Hospital / Hayatabad Medical Complex,18.615,65.507
169,Monday-May 11-2009,16 Jumaada al-awal 1430 A.H,Working Day,,9:30 AM,Dara Adam Khel,33.6854,71.5131,KPK,check post in the Outstrikes of Darra Adamkhel-in area of Sabeena police station,Police,High,Open,NA,Police,None,10,11,20,27,1,NA,"1. Lady Reading Hospital Pesh
2. CMH Peshwar",25.66,78.188
170,Thursday-May 21-2009,26 Jumaada al-awal 1430 A.H,Working Day,,Late Night/Evening,Tank,32.226,70.3761,KPK,FC fort in Jandola,Military,High,Open,FC camp,Military,None,6,9,25,36,1,NA,CMH Dera/ Tank Hospitals,21.54,70.772
171,Wednesday-May 27-2009,3 Jumaada al-THaany 1430 A.H,Working Day,,10.10 AM/10:30 AM,Lahore,31.5451,74.3407,Punjab,hit police checkpost outside Rescue 15 Office and country's premier intelligence agency,Police,High,Open,NA,Police,None,26,27,320,370,1,125 kg,Ganga Ram hospital / Meo/ Services Hospital,33.275,91.895
172,Thursday-May 28-2009,4 Jumaada al-THaany 1430 A.H,Working Day,,5:40pm,Peshawar,34.0043,71.5448,KPK,"Kohat Road-Sira Khora-
Police  Check Post ",Police,High,Open,NA,Police,None,3,5,3,9,1,5kg,"Lady Reading Hospital 
Peshawar ",34.19,93.542
173,Thursday-May 28-2009,4 Jumaada al-THaany 1430 A.H,Working Day,,,D.I Khan ,31.8238,70.9095,KPK,checkpost on circular road,Police,High,Open,NA,Police,None,3,5,8,12,1,160,NA,29.085,84.353
174,Friday-June 5-2009,12 Jumaada al-THaany 1430 A.H,Working Day,,Jummah prayer time,Upper Dir,35.1977,71.8749,FATA,Masjid in Hayagai Sharqai village,Religious,Medium,Closed,NA,Religious,Sunni,,40,50,70,1,NA,NA,23.36,74.048
175,Saturday-June 6-2009,13 Jumaada al-THaany 1430 A.H,Working Day,,8:35 PM,Islamabad,33.718,73.0718,Capital,Rescue 15 building in Islamabad ,Police,High,Closed,Senior Police Officials meeting,Police,None,2,2,4,5,1,NA,PIMS,26.235,79.223
176,Tuesday-June 9-2009,16 Jumaada al-THaany 1430 A.H,Working Day,,10.30 pm,Peshawar,34.0043,71.5448,KPK,"Pearl Continental Hotel
Peshawar",Hotel,Medium,Closed,NA,Foreigner,None,11,15,50,80,1,500 Kg,"Lady Reading Hospital 
Peshawar ",29.325,84.785
177,Thursday-June 11-2009,18 Jumaada al-THaany 1430 A.H,Working Day,,Thursday night ,Peshawar,34.0043,71.5448,KPK,ring road Latifabad-Peshawar ,Police,High,Open,NA,Police,None,1,2,8,15,1,NA,LRH ,30.935,87.683
178,Friday-June 12-2009,19 Jumaada al-THaany 1430 A.H,Working Day,,After Friday prayers,Lahore,31.5451,74.3407,Punjab,Jamia Naeemia madrassa-Garhai Shahu area,Religious,Medium,Closed,,Religious,Sunni,5,7,5,12,1,24Kg,Mayo-Sir Ganga Ram Servuces-Jinnah Hospital,35.985,96.773
179,Friday-June 12-2009,19 Jumaada al-THaany 1430 A.H,Working Day,,2.40 Pm,Nowshehra,34.0322,73.0944,KPK,military run Mosque in Nowshera Cantt-on supply depot morr,Religious,Medium,Closed,,Religious,Sunni,4,7,63,105,1,NA,contonment hospital-DHQ Hospital-peshawar CMH,29.2,84.56
180,Monday-June 22-2009,29 Jumaada al-THaany 1430 A.H. ,Working Day,,,Swat,35.3833,72.1833,KPK,Thakot Police check-post in Battagram District.,Police,High,Open,NA,Police,None,,2,,7,,,,27.665,81.797
181,Friday-June 26-2009,3 Rajab 1430 A.H,Working Day,,6:00:00 AM/6:30:00 AM,Muzaffarabad,34.3597,73.4711,AJK,near non commisioned officers place-Muzaffarabad,Mobile,High,Open,NA,Military,None,,2,3,4,1,NA,CMH Muzzafarabad,33.255,91.859
182,Tuesday-June 30-2009,7 Rajab 1430 A.H.,Working Day,,NA,Khyber Agency,34.0211,71.2874,FATA,Quetta-Khi RCD highway-town of Torkham ,Foreign,High,Open,blew himself up while being searched at the pak-afghna checkpost,foreigner,Sunni,1,4,10,11,1,NA,NA,31.26,88.268
183,Wednesday-July 1-2009,8 Rajab 1430 A.H.,Working Day,,NA,Peshawar,34.0043,71.5448,KPK,Mashokhel Mera Area-Kohat Road,Mobile,High,Open,,Unknown,None,,1,,,1,NA,NA,30.385,86.693
184,Thursday-July 2-2009,9 Rajab 1430 A.H.,Working Day,,4:30pm,Rawalpindi,33.6058,73.0437,Punjab,"KRL Bas at Chur Chowk
on peshawar road-rwp cantt",Mobile,High,Open,NA,Government official,None,,1,25,40,1,10Kg,NA,27.29,81.122
185,Wednesday-July 8-2009,15 Rajab 1430 A.H,Working Day,,3:00am,Peshawar,34.0043,71.5448,KPK,nasir bagh road choongi bazar near police colony,Market,Low,Open,NA,Police,None,,1,2,5,1,20 Kg,NA,34.825,94.685
186,Tuesday-July 28-2009,6 SHa`baan 1430 A.H,Working Day,,NA,North Waziristan,32.9746,70.1456,KPK,Dirdony post on ghulam khan road-Near Miranshah,Police,High,Open,NA,Police,None,,2,3,5,1,NA,NA,27.485,81.473
187,Thursday-August 13-2009,22 SHa`baan 1430 A.H,Working Day,,NA,South Waziristan,32.3202,69.8597,FATA,wana bazar,Mobile,Low,Open,leader of Nawaz group-a group against taliban,Anti-Militants,Sunni,4,5,,,1,NA,NA,26.925,80.465
188,Saturday-August 15-2009,24 SHa`baan 1430 A.H,Working Day,,10:00 AM,Swat,35.2227,72.4258,KPK,Check post in Khawazakhela- Char Bagh road near-waliabad village,Police,High,Open,NA,Police,None,3,5,,4,1,NA,Saidu Sharif hospital,32.845,91.121
189,Sunday-August 16-2009,25 SHa`baan 1430 A.H,Holiday,Weekend,NA,swat,35.2227,72.4258,KPK,security forces check point,Police,High,Open,NA,Police,None,,1,,3,1,NA,NA,29.985,85.973
190,Tuesday-August 18-2009,27 SHa`baan 1430 A.H.,Working Day,,7:00 PM,North Waziristan,32.9746,70.1456,KPK,Esha check post on bannu-miranshah road,Military,High,Open,NA,Military,None,3,7,,3,1,NA,NA,24.65,76.37
191,Friday-August 21-2009,30 SHa`baan 1430 A.H,Working Day,,NA,Kohat,33.5833,71.4333,KPK,BB Pakdaman Street,Civilian,,Open,NA,Civilian,None,,0,,,1,NA,NA,29.035,84.263
192,Saturday-August 22-2009,1 RamaDHaan 1430 A.H. ,Working Day,,5:00 PM,Swat ,35.2227,72.4258,KPK,kanju area of Kabal tehsil,Residence,Low,Closed, police raid in the area ,Police,None,2,3,2,8,1,NA,NA,26.025,78.845
193,Sunday-August 23-2009,2 RamaDHaan 1430 A.H. ,Holiday,Weekend,,Peshawar,34.0043,71.5448,KPK,Momin Town,Residence,Low,open,Fateh Khawani of Haji Mobin Afridi,Anti-Militants,Sunni,,3,,15,1,12Kg,Lady Reading Hospital,29.92,85.856
194,Thursday-August 27-2009,6 RamaDHaan 1430 A.H,Working Day,,aftar time,Khyber Agency,34.0211,71.2874,FATA,security post near Torkham border,Military,High,Open,NA,Military,None,20,22,10,27,1,NA,Landi Kotal Hospital,30.08,86.144
195,Sunday-August 30-2009,9 RamaDHaan 1430 A.H,Holiday,Weekend,NA,Swat,35.2227,72.4258,KPK,police training center in Mingora,Police,High,Closed,NA,Police,None,16,18,4,14,1,12 Kg,Saidu Sharif hospital,29.155,84.479
196,Saturday-September 12-2009,22 RamaDHaan 1430 A.H,Working Day,,5 min befor aftar,Hangu,33.5351,71.0713,KPK,Doaba police station,Police,High,Closed,NA,Police,None,,,2,4,1,NA,NA,26.635,79.943
197,Sunday-September 13-2009,23 RamaDHaan 1430 A.H,Holiday,Weekend,,Malakand ,34.503,71.9046,KPK,checkpost in Thana area-near batkhela,Military,High,Open,,Military,None,,1,3,5,2,NA,NA,28.31,82.958
198,Friday-September 18-2009,28 RamaDHaan 1430 A.H,Working Day,,10:00 AM,Kohat,33.5833,71.4333,KPK,Kacha pakha bazar-in Astarzai union council area,Market,Low,Open,NA,Civilian,None,30,37,50,60,1,150 kg ,NA,29.19,84.542
199,Saturday-September 19-2009,29 RamaDHaan 1430 A.H,Working Day,,Saturday Evening,Dara Adam Khel,33.6854,71.5131,KPK,"Security Check
Post in zorkalay area",Police,High,Open,NA,Police,None,,2,,1,1,NA,NA,29.865,85.757
200,Monday-September 21-2009,2 SHawwal 1430 A.H. ,Working Day,,After Midnight,Totalai,34.2,72.5,KPK,Tatalai District,Educational,Low,Closed,,Government Official,None,,0,,,1,NA,NA,26.855,80.339
